info_Nombre de la publicación aprobada por el Indautor,info_No. Expediente en CCPRI,info_Periodicidad,info_Nombre comercial,info_Nombre fiscal,info_RFC del medio impreso,info_Estado,info_Número exterior,info_Código postal,info_Municipio,info_Colonia,info_Calle,info_Teléfono1,info_Presidente/a,info_Director/a editorial,info_Jefe/a de información y/o redacción,info_Fecha fundación,info_Fecha ejemplar,info_Página electrónica,info_Correo electrónico,info_Director/a general,info_Representante legal,info_Gerente comercial,info_Ejemplar de muestra,info_Cuenta con código de ética,info_Carta protesta firmada por el/la títular o el/la representante legal del medio impreso sobre requisitos obligatorios,info_Carta de conocimiento de leyes generales firmada por el/ella representante legal y editor(a) responsable,info_Tipo Tarifa,circulacion_Nombre de la publicación aprobada por el Indautor,circulacion_No. Expediente en CCPRI,circulacion_Periodicidad,circulacion_Fecha de ingreso/actualización del archivo PDF en el sistema,circulacion_Fecha de emisión del certificado,circulacion_Tiraje promedio,circulacion_Tipo de persona física o moral que lleva a cabo la certificación,"circulacion_Nombre, denominación social o razón social según corresponda",circulacion_Número de ediciones evaluadas,circulacion_Promedio de circulación,circulacion_Ventas,circulacion_Devoluciones,circulacion_Circulación pagada,circulacion_Promedio de circulación pagada,perfil_Nombre de la publicación aprobada por el Indautor,perfil_No. Expediente en CCPRI,perfil_Periodicidad,"perfil_Nombre, denominación o razón social",perfil_Estado,perfil_Núm. Exterior,perfil_Núm. Interior,perfil_Código Postal,perfil_Municipio/Delegación,perfil_Colonia,perfil_Calle,perfil_Teléfono,perfil_Página electrónica,perfil_Instrumento de medición,perfil_Universo,perfil_Tamaño de muestra,perfil_Nivel de confianza,perfil_Inicio,perfil_Termino,perfil_Tipo de entrevista o estrategia para el estudio,perfil_Margen de error,perfil_Mujeres,perfil_Hombres,perfil_Urbana,19-24,25-34,35-44,45-54,AB/C+,C,D+,Licenciatura,Postgrado,Preparatoria o Carrera Técnica,Primaria,Secundaria,Ama De Casa,Estudiante,Otro,Retirado,Trabaja Tiempo,Trabaja Tiempo Completo,info_Gerente general,circulacion_Curriculum,perfil_Persona que realiza el perfil del/la lector/a,perfil_Correo Electrónico,55-64,65 y más,D/E,Comerciante,Empleado,Hogar,Industrial,Obrero,Profesionista,circulacion_Distribución gratuita,circulacion_Circulación gratuita,circulacion_Promedio de circulación gratuita,Jubilado,Labores Del Hogar,info_Teléfono2,circulacion_Suscripciónes pagadas,Empleado IP,Empresario,Profesionista Independiente,Servidor Público,perfil_Rural,13-18,Iniciativa Privada,info_Número interior,circulacion_Directorio,circulacion_Metodología,Autoempleado,Director/Gerente,Maestro,Labor De Hogar,circulacion_Distribución a personas identificadas,circulacion_Circulación controlada,circulacion_Promedio de circulación controlada,Trabaja Medio Tiempo,0-12,Comerciantes,Desempleados,Estudiantes,Industriales,Política,Profesionistas,Otros,Sin Estudios,Empleados,Funcionarios,Al Hogar,Jubilado/Pensionado/Retirado,Temporalmente Desempleado,Trabaja,circulacion_Distribución calificada,circulacion_Circulación calificada,circulacion_Promedio de circulación calificada,info_Teléfono3,info_Teléfono4,Pensionado,Jubilado O Pensionado,Profesionistas Independientes,Otra,info_Fax,PPProfesionista Independiente,Agricultor,Ejecutivo,Funcionario Publico,Gobierno,Trabajo Por Su Cuenta,Desempleado,perfil_Mixta,Agricultor/Campesino,Comerciante Ambulante,Comerciante Formal,Empleado Empresa Privada,Pensionado/Jubilado,Periodista,Profesor,Trabaja Por Su Cuenta Como Profesionista,Trabaja Por Su Cuenta En Oficios,Funcionario Público,Sector Empresarial,Negocio Propio,Obrero / Artesano,Por Su Cuenta,Ventas,CASA,ESCUELA,OTROS,TRABAJO,TRANSPORTE,Independientes,Sector Público,Retiro,Trabajo Mediotiempo,Trabajo Tiempo Completo,Al Hogar Y Trabaja 1/2 Tiempo,Estudiante Y Trabaja 1/2 Tiempo,Solo Trabaja 1/2 Tiempo,Director,Dueño O Socio,Gerente,Empleado Privado O Público,Trabaja Medío Tiempo,Agricultor Y Ganadero,Temporamente Desemplado,Estudiante Y Trabaja Medio Tiempo,Servidor Publico,Labores DelHogar,Servidores Público,Profesionista Independiene,Empleado Independiente,Rofesionista,Servicio Pública,Estudiante Y Trabaja,Trabajo,No Contestó,Servicio Publico,Estudiante Y Trabaja 1/2 Medio Tiempo,Funcionario,circulacion_Vendidos a un precio menor del 50%,EMPLEADOS,FUNCIONARIOS,PROFESIONISTAS,Empresario IP,Empresa,Trabaja Por Su Cuenta,IP,Jubildo,Jubilado/pensionado/retirado,Político,Estudiente,Administrativos,Educadores,"Otros Profesionistas Diversos (ingenieros, Contadores)",Esmpresario,Trabajo Completo,Trabajo Medio Tiempo,Amas De Casa,Ejecutivas,Empresaria,Comercante,Profeaionista,Estudante,Estuiante,Empleado Ip,Comerciate,Profesional Independiente,Empleo IP,Servicio Público,Administración Pública,Diseño / Propietario,Jubilado O Pendionado,Agricultor O Ganadero,Empleado Privado,Jubilado Y Pensionado,Patrón/Empresario/Profesionista/Independiente,Trabaja Medo Tiempo,Obrero Pemex,Profesionista Independietne,Servicios Públicos,info_Alto,Estudiante Trabaja 1/2 Tiempo
FRONTERA ENSENADA,CCPRI/3/TC/13/19860,Diario,Frontera Ensenada,"Impresora y Editorial, S.A. de C.V.",IED551008NR2,Baja California,13483,22439,Tijuana,Anexa 20 de Noviembre,Vía Rápida Poniente,664.622.9900 ,Juan Fernando Healy Loera,Ana Cecilia Ramírez,Gonzalo Alberto Martínez,01 ENE 2017,, www.fronteraensenada.info,dgranados@elimparcial.com,Ricardo Salido Gaxiola,Ricardo Salido Gaxiola Mireille Sánchez Ibarra,Ivette Iñigo,NO,NO,SI,SI,Periódico,FRONTERA ENSENADA,CCPRI/3/TC/13/19860,Diario,15 JUL 2020,23 MAR 2020,10926,Certificadora,"Romay Hermida y Cía, S. C.",121,10337.18,1112524,59767,1078374,8912.18,FRONTERA ENSENADA,CCPRI/3/TC/13/19860,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,9000,500,95,01 DIC 2019,31 DIC 2019,Internet,Más Menos Cinco,39%,61%,100%,11%,32%,26%,,38%,33%,19%,30%,10%,30%,11%,19%,,16%,,,,,,,MORAL,romayhermidayciasc@gmail.com,22%,3%,10%,21%,22%,,,,,172425,172425,1425,2%,20%,,25617,,,19%,,,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFOBAJA,CCPRI/3/TC/14/20180,Semanal,Infobaja,"Macro Medios de Baja California, S.A. de C.V.",MMB0905215JA,Baja California,3140,22634,Tijuana,La Sierra,Av. Popocatépetl,644.647.7373 ,,Moisés Márquez Villegas,,21 MAY 2009,23 ENE 2020, www.infobaja.info,soylector@infobaja.info,Luis Fernando Vázquez Bayod,Luis Fernando Vázquez Bayod,Karla Fabiola Alvarado Maturino,SI,NO,SI,SI,Periódico,INFOBAJA,CCPRI/3/TC/14/20180,Semanal,12 FEB 2020,09 DIC 2019,25000,Certificadora,Focus Investigación de Mercado,13,25000,,,,,INFOBAJA,CCPRI/3/TC/14/20180,Semanal,Focus Investigación de Mercados,Baja California,2841,,22044,Tijuana,América,Santa María,664.634.2930,www.focus.com.mx,Encuesta,50720,400,95,01 SEP 2019,30 NOV 2019,,Más Menos Cinco,47%,53%,100%,20%,34%,23%,15%,39%,31%,18%,43%,14%,19%,9%,15%,16%,6%,,,,,,,MORAL,contactotij@focus.com.mx,8%,,12%,7%,43%,,,,,325000,325000,25000,3%,,,,,7%,7%,,,,,A,,,3%,4%,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CRÓNICA DIARIO INDEPENDIENTE DE BAJA CALIFORNIA,CCPRI/3/TC/16/20670,Diario,La Crónica Diario Independiente De Baja California,"Impresora y Editorial, S.A. de C.V.",IED551008NR2,Baja California,952,21000,Mexicali,Centro Cívico,Av. Héroes de la Patria,686.557.4801 ,Juan Fernando Healy Loera,Ana Cecilia Ramírez,Gonzalo Alberto Martínez López,07 NOV 1990,, www.lacronica.com,dgranados@elimparcial.com,Ricardo Salido Gaxiola,Ricardo Salido Gaxiola MIreille Sánchez Ibarra,Ivette Iñigo,NO,NO,SI,SI,Periódico,LA CRÓNICA DIARIO INDEPENDIENTE DE BAJA CALIFORNIA,CCPRI/3/TC/16/20670,Diario,15 JUL 2020,23 MAR 2020,26880,Certificadora,"Romay Hermida y Cía, S. C.",121,26293.94,2561440,64125,3140911,25957.94,LA CRÓNICA DIARIO INDEPENDIENTE DE BAJA CALIFORNIA,CCPRI/3/TC/16/20670,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,Cuestionario,5000,500,95,01 DIC 2019,31 DIC 2019,Internet,Más Menos Cinco,45%,55%,100%,20%,22%,24%,28%,33%,32%,27%,29%,10%,30%,10%,21%,,20%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,2%,8%,17%,23%,,,,,40656,40656,336,3%,,,643596,,,15%,,,4%,,,,,,,,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SEGUNDA,CCPRI/3/TC/11/19243,Diario,La Segunda,"Tenedora Elcoli, S. A. de C. V.",TEL130114AX1,Baja California,3743,22540,Tijuana,Los Pirules,General Lázaro Cárdenas,664.104.2400 ,,Alberto Sarmiento Reyes,Alberto Sarmiento Reyes,22 OCT 1959,30 JUN 2019, www.el-mexicano.com.mx,mextij@el-mexicano.com.mx,Eligio Valencia Alonso,Eligio Valencia Alonso,Liliana Valencia Alonso,SI,NO,SI,SI,Periódico,LA SEGUNDA,CCPRI/3/TC/11/19243,Diario,29 NOV 2019,06 NOV 2019,22700,Certificadora,"Romay Hermida y Cía, S. C.",91,19744.04,2056933,260225,1796708,19744.04,LA SEGUNDA,CCPRI/3/TC/11/19243,Diario,"Romay Hermida y Cía, S. C.",Puebla,73,,72810,San Andres Cholula,Paseos de Cholula,Paseo de Cholula,012222218809,,,22000,500,95,01 SEP 2019,30 SEP 2019,,Más Menos Cinco,55%,45%,100%,18%,30%,26%,,26%,27%,22%,20%,5%,41%,12%,22%,,13%,,,,,Eligio Valencia Alonso,,MORAL,romayhermidayciasc@gmail.com,26%,,25%,,,,,,,,,,5%,21%,664.104.2401 ,,18%,15%,17%,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZETA EN BAJA CALIFORNIA LIBRE COMO EL VIENTO,1/432-90-06907,Semanal,Zeta En Baja California Libre Como El Viento,"Choix Editores, S. de R.L. de C.V.",CED800423686,Baja California,4633,22106,Tijuana,El Paraiso,Las Américas,6646 816915 ,Cesar Rene Blanco Villalon,Adela Navarro Bello,Rosario Mosso Castro,23 ABR 1980,05 JUL 2019, www.zetatijuana.com,contabilidad@zetatijuana.com,Cesar Rene blanco Villalon,Claudia Guadalupe Kennedy Echeverría,Leticia Garza Alvarez,SI,SI,SI,SI,Periódico,ZETA EN BAJA CALIFORNIA LIBRE COMO EL VIENTO,1/432-90-06907,Semanal,08 OCT 2019,04 OCT 2019,14500,Certificadora,"M & A Calificación de Medios, S.C.",14,10181,139734,,139734,9981,ZETA EN BAJA CALIFORNIA LIBRE COMO EL VIENTO,1/432-90-06907,Semanal,"M&A Investigación de la Comunicación, S.C.",Ciudad De México,393,301,6500,Cuauhtemoc,Cuauhtémoc,Paseo de la Reforma,5555146191,http://www.moctezumayasociados.com.mx,Encuesta,42760,300,95,30 SEP 2019,03 OCT 2019,Internet,Más Menos Cinco,38%,62%,100%,5%,33%,39%,23%,54%,26%,20%,58%,19%,16%,1%,6%,8%,11%,,2%,,66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2800,200,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EL PENINSULAR,CCPRI/3/TC/12/19407,Diario,El Peninsular,"PERIODISTICA CALAFIA, S.A. DE C.V.",PCA140625699,Baja California Sur,1355,23020,La Paz,Guerrero,Reforma,612.123.2400 ,Victor Daniel Romero Castro,,,,05 JUL 2019,,periodisticacalafia@gmail.com,J. Salvador Estrada P.,Victor Daniel Romero Castro,,SI,NO,SI,SI,Periódico,EL PENINSULAR,CCPRI/3/TC/12/19407,Diario,08 JUL 2019,30 ABR 2019,8177,Agencia de Investigación,"GOSSLER,S.C.",60,6673,373544,90257,400380,6673,EL PENINSULAR,CCPRI/3/TC/12/19407,Diario,"GOSSLER,S,C,",México,1,piso 12,,Naucalpan De Juarez,Los Alamos,Alamo Plateado,,,Cuestionario,7999,800,98,25 FEB 2019,23 MAR 2019,Telefónica,Más Menos Tres,38%,62%,100%,10%,18%,39%,23%,26%,35%,28%,56%,28%,9%,2%,4%,,,,,,,,SI,MORAL,israel.nara@crowehorwath.com.mx,,5%,11%,,,4%,,,,,,,,,,117093,,,,,,3%,9%,,SI,,,,,,,,,,2%,14%,1%,2%,14%,40%,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIBUNA DE LOS CABOS,CCPRI/3/TC/16/20727,Diario,Tribuna De Los Cabos,"Compañía Periodística Sudcaliforniana, S. A. de C. V.",PSU010424NIA,Baja California Sur,,23400,Los Cabos,Chula Vista,Blvd. Mauricio Castro,624.142.1944 ,Fernando Gonzalez Corona,Brenda Ireri Yañez Ramírez,Victor Manzano Cota,02 ABR 1991,21 FEB 2022, www.tribunadeloscabos.com.mx,juridico@cps.media,Claudia Meléndez Estrada,David Cuevas García,Edgar Arturo Melgarejo,SI,NO,SI,SI,Periódico,TRIBUNA DE LOS CABOS,CCPRI/3/TC/16/20727,Diario,18 FEB 2022,15 FEB 2022,24518,Agencia de Investigación,Agencia Certificadora y Gestora de Medios SC,90,23485,1724310,92970,2113650,23485,TRIBUNA DE LOS CABOS,CCPRI/3/TC/16/20727,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,23485,325,97,08 FEB 2022,15 FEB 2022,,Más Menos Tres,41%,59%,100%,10%,34%,22%,14%,46%,46%,,35%,13%,37%,5%,10%,,7%,,,,,,,MORAL,acgm.sc@gmail.com,11%,9%,8%,18%,25%,12%,,,14%,,,,,,,482310,,,,,,,9%,,,,,,,,,,,,,,,,,,,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE HOY,CCPRI/3/TC/09/18422,Lunes A Sábado,Campeche Hoy,"Editorial Campeche Hoy, S.A. de C.V.",ECH070307QK3,Campeche,7,24000,Campeche,Centro,61,981.811.0346 ,Miguel Cantón Zetina,Juan Manuel Juárez Cortés,José Ángel Colorado Rodríguez,11 AGO 2008,16 OCT 2019, www.campechehoy.mx,purgatorio_qp@hotmail.com,Miguel Cantón Zetina,Aurora Olín Godoy,Mario Martínez Reyes,SI,NO,SI,SI,Periódico,CAMPECHE HOY,CCPRI/3/TC/09/18422,Lunes A Sábado,22 OCT 2019,21 OCT 2019,31000,Certificadora,"Asociación Interactiva Para el Desarrollo Productivo, A. C.",90,31000,2565000,,2565000,28500,CAMPECHE HOY,CCPRI/3/TC/09/18422,Lunes A Sábado,Asociación Interactiva para el Desarrollo Productivo A.C.,México,4,Lt. 8,,Ecatepec,Quinto Sol,Avenida Ensueño,,http://www.aindep.org/,Encuesta,1203,500,95,01 AGO 2019,19 OCT 2019,,Más Menos Cinco,51%,49%,98%,26%,24%,18%,15%,45%,30%,15%,38%,12%,26%,8%,14%,,,,,,,,SI,MORAL,informacion@aindep.org.mx,,5%,10%,,,,,,,225000,225000,2500,,,,,,,,,2%,12%,,,,,,,,,,,,,,,,,,,45%,5%,2%,30%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPECHE LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19786,Diario,Campeche La I Noticias Para Mí,"Compañía Tipográfica Yucateca, S.A. de C.V.",TYU7712304L6,Campeche,187,24090,Campeche,Fracciorama 2000,Av. Patricio Trueba Regil,999.942.2222 ,Carlos Rubén Menéndez Navarrete,Luis Gaudencio Celaya Cordero,Luis Alberto González Uribe,15 NOV 2004,, www.laisureste.com,lcelaya@megamedia.com.mx,Carlos Ricardo Menéndez Losa,Luis Gaudencio Celaya Cordero,Edgar Hermosillo,NO,SI,SI,SI,Periódico,CAMPECHE LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19786,Diario,11 JUN 2021,07 MAY 2021,18500,Certificadora,"Romay Hermida y Cía, S. C.",121,16763.31,2152753,200741,2028361,16763.31,CAMPECHE LA I NOTICIAS PARA MÍ,CCPRI/3/TC/13/19786,Diario,"Ipsos, S.A. de C.V.",Ciudad De México,475,7,121,Álvaro Obregón,Zedec Santa Fe,Av. Santa Fe,01 55 1101 0000,,Entrevista,19200,800,95,01 JUL 2018,31 DIC 2018,Internet,Más Menos Cinco,47%,53%,100%,21%,24%,20%,21%,9%,9%,40%,20%,1%,37%,15%,27%,,22%,,,,,,,MORAL,romayhermidayciasc@gmail.com,,,42%,,,,,,,,,,,,,76349,,,,,,14%,,,,,,,,,,,,,,,,,,,,,,,,26%,4%,3%,45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRÓNICA DE CAMPECHE,CCPRI/3/TC/08/18193,Diario,Crónica De Campeche,"Medios Informativos de Campeche, S.A de C.V.",MIC031022RI0,Campeche,5,24040,Campeche,San Román,Privada de la Calle 14,981.816.8920 ,,Homero Bojórquez Rivero,Julio Antonio Denegri Poot,14 DIC 1988,25 MAR 2020, www.cronicacampeche.com,administracion@cronicacampeche.com,Virgilio Santiago Soberanis Rodríguez,Isidro de Jesús Yerbes Cruz,Saúl González Juárez,SI,NO,SI,SI,Periódico,CRÓNICA DE CAMPECHE,CCPRI/3/TC/08/18193,Diario,01 ABR 2020,01 ABR 2020,8650,Certificadora,Agencia Certificadora y Gestora de Medios SC,91,8551,787150,9009,778141,8551,CRÓNICA DE CAMPECHE,CCPRI/3/TC/08/18193,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Encuesta,8551,478,97,23 MAR 2020,01 ABR 2020,Internet,Más Menos Tres,39%,61%,86%,7%,5%,26%,31%,93%,4%,3%,34%,3%,43%,4%,16%,,15%,,,,,,,MORAL,acgm.sc@gmail.com,18%,13%,,,33%,18%,,,13%,,,,,,,,,,,,14%,,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIARIO INDEPENDIENTE TRIBUNA,CCPRI/3/TC/14/20164,Diario,Diario Independiente Tribuna,"Organización Editorial del Sureste, S.A de C.V.",OES800908BE8,Campeche,15,24050,Campeche,Santa Ana,Tamaulipas,981.816.6313 ,,Jorge Luis González Valdéz,Lorenzo Chim,11 JUN 1975,08 FEB 2022, www.tribunacampeche.com,gerencia@tribunacampeche.com,Jorge Luis González Valdez,Karla Guadalupe Cervera González,Diana Eugenia Calderón López,SI,NO,SI,SI,Periódico,DIARIO INDEPENDIENTE TRIBUNA,CCPRI/3/TC/14/20164,Diario,01 ABR 2022,17 FEB 2022,18700,Certificadora,"Brumat Media, S.A. de C.V.",98,18535,1816920,16170,1800750,18375,DIARIO INDEPENDIENTE TRIBUNA,CCPRI/3/TC/14/20164,Diario,"Brumat Media, S.A. de C.V.",,,,,,,,,,Encuesta,18535,377,95,09 FEB 2022,16 FEB 2022,Internet,Más Menos Cinco,42%,58%,95%,10%,29%,34%,23%,64%,34%,2%,37%,14%,33%,,16%,,16%,,,,,,,,,,4%,,,8%,6%,,,29%,,,,,,,,,,,,5%,,24%,B,,,,,,,,,,,,,,,,14%,,3%,,,,,,,,15680,15680,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEDADES CAMPECHE,CCPRI/3/TC/12/19516,Diario,Novedades Campeche,"Noticias y Publicaciones Novedades del Sureste, S.A. de C.V.",NPN1611233T7,Campeche,306,24040,Campeche,San Román,Calle 10,981.816.0798 ,Luis Daniel UC Pérez,Lázaro Briceño Pérez,Anabel Martínez Torres,11 ENE 1973,, www.novedadesdecampeche.com.mx,fernando@novedadesdecampeche.com.mx,,Víctor manuel Medina Chang,Víctor manuel Medina Chang,NO,NO,SI,SI,Periódico,NOVEDADES CAMPECHE,CCPRI/3/TC/12/19516,Diario,07 AGO 2020,24 ABR 2020,11000,Consultoria,Agencia Certificadora y Gestora de Medios SC,24,11000,253488,,257448,10727,NOVEDADES CAMPECHE,CCPRI/3/TC/12/19516,Diario,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,11000,221,95,23 ABR 2020,31 JUL 2020,Internet,Más Menos Cinco,34%,66%,94%,6%,9%,25%,31%,42%,23%,16%,53%,26%,21%,,,,,,,,,Víctor Manuel Medina Chang,,MORAL,acgm.sc@gmail.com,18%,11%,19%,11%,,11%,,,15%,6552,6552,273,,,981.811.7687 ,3960,,,,,6%,,45%,,,,,,,,,,,,,,,,,12%,,6%,,,,,,,,,,,981.144.6580 ,981.144.6472 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERIODISMO SIN COMPROMISO EL EXPRESO DE CAMPECHE,CCPRI/3/TC/19/21257,Lunes A Viernes,Periodismo Sin Compromiso El Expreso De Campeche,"OPERADORA 3R, S.A. DE C.V.",ORX1604057B0,Campeche,1,24040,Campeche,San Román,Montecristo,981.145.0669 ,Luis Antonio Espinosa Campos,Abel Efraín Durán Reyes,Abel Efraín Durán Reyes,17 JUN 2005,, www.expresocampeche.com,suemy.tejero@expresocampeche.com,Pedro Alberto Cab Cardona,Pedro Alberto Cab Cardona,Pedro Alberto Cab Cardona,,NO,SI,SI,Periódico,PERIODISMO SIN COMPROMISO EL EXPRESO DE CAMPECHE,CCPRI/3/TC/19/21257,Lunes A Viernes,18 ENE 2021,07 ENE 2021,9123,Certificadora,Agencia Certificadora y Gestora de Medios SC,66,9000,279378,8118,587730,8905,PERIODISMO SIN COMPROMISO EL EXPRESO DE CAMPECHE,CCPRI/3/TC/19/21257,Lunes A Viernes,Agencia Certificadora y Gestora de Medios SC,Ciudad De México,49,1402 14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,5536852022,www.agenciacgm.com,Cuestionario,9000,228,96,31 DIC 2020,07 ENE 2021,Internet,Más Menos Cuatro,46%,54%,100%,10%,17%,41%,17%,73%,10%,,43%,19%,28%,,10%,,4%,,,,,,,MORAL,acgm.sc@gmail.com,7%,4%,17%,,53%,8%,7%,,21%,1782,1782,27,,,,316470,,,,,,4%,7%,,,,,,,,2706,2706,41,,,,,,,,,,,,,,,,,1782,1782,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POR ESTO! CAMPECHE DIGNIDAD, IDENTIDAD Y SOBERANÍA",CCPRI/3/TC/18/21007,Diario,"Por Esto! Campeche Dignidad, Identidad Y Soberania","Compañía Editora del Mayab, S.A. de C.V.",EMA99042272A,Campeche,204,24010,Campeche,Guadalupe,Calle 10,999.930.2760 ,,Alicia Menéndez Figueroa,Mauricio Poo Bonilla,21 MAR 1991,, www.poresto.net,aliciamenendez@poresto.mx,Alicia Menéndez Figueroa,Alicia Menéndez Figueroa,Alicia Menéndez Figueroa,NO,NO,SI,SI,Periódico,"POR ESTO! CAMPECHE DIGNIDAD, IDENTIDAD Y SOBERANÍA",CCPRI/3/TC/18/21007,Diario,07 MAR 2022,02 FEB 2022,21547,Certificadora,Agencia Certificadora y Gestora de Medios SC,90,20580,1939230,87030,1852200,20580,"POR ESTO! CAMPECHE DIGNIDAD, IDENTIDAD Y SOBERANÍA",CCPRI/3/TC/18/21007,Diario,"Agencia Certificadora y Gestora de Medios, S.C.",Ciudad De México,49,1402-14,6500,Cuauhtemoc,Cuauhtémoc,Río Mississipi,55.3685.2022,www.agenciacgm.com,Cuestionario,20580,297,96,24 ENE 2022,02 FEB 2022,Internet,Más Menos Cuatro,46%,54%,87%,7%,34%,27%,24%,79%,21%,,47%,12%,41%,,,,,11%,,,,,,MORAL,acgm.sc@gmail.com,8%,,,,17%,,,,25%,,,,,,,,,,,,13%,,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
